word,pos,cefr_int,cefr,ngram_2013,ngram_2014,ngram_2015,ngram_2016,ngram_2017,ngram_2018,ngram_2019
biography,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapter,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circus,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beat,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cello,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
column,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bow,NOUN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
art,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cable,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinema,NOUN,5,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brass,NOUN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ballet,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
background,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompany,VERB,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act,VERB,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advertise,VERB,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broadcast,VERB,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,NOUN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
body,NOUN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accident,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
back,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cold,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ache,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankle,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottom,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheek,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chin,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bite,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breakdown,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruise,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chest,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antibiotic,NOUN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
