word,pos,cefr_int,cefr
cab,NOUN,3,B
campsite,NOUN,3,B
aircraft,NOUN,4,B
carriage,NOUN,5,C
baggage,NOUN,3,B
approach,NOUN,4,B
adventure,NOUN,2,A
camp,NOUN,3,B
camp,VERB,2,A
accelerate,VERB,6,C
book,VERB,2,A
board,VERB,3,B
boss,NOUN,2,A
businessman,NOUN,2,A
businesswoman,NOUN,2,A
agency,NOUN,3,B
architect,NOUN,3,B
career,NOUN,3,B
agent,NOUN,4,B
analyst,NOUN,4,B
chief,NOUN,4,B
client,NOUN,4,B
appoint,VERB,5,C
build,VERB,2,A
cigarette,NOUN,2,A
addict,NOUN,4,B
cancer,NOUN,3,B
abuse,NOUN,6,C
alcohol,NOUN,2,A
champagne,NOUN,2,A
bacon,NOUN,3,B
beer,NOUN,1,A
cathedral,NOUN,2,A
church,NOUN,2,A
bribe,NOUN,5,C
bomb,VERB,3,B
arrival,NOUN,5,C
acquaintance,NOUN,5,C
appliance,NOUN,5,C
alliance,NOUN,6,C
annoyance,NOUN,5,C
acceptance,NOUN,5,C
attendance,NOUN,5,C
coincidence,NOUN,4,B
baker,NOUN,3,B
blogger,NOUN,3,B
border,NOUN,3,B
butcher,NOUN,3,B
buyer,NOUN,3,B
banker,NOUN,4,B
climbing,NOUN,2,A
advertising,NOUN,4,B
banking,NOUN,4,B
coaching,NOUN,4,B
backing,NOUN,6,C
association,NOUN,4,B
collocation,NOUN,4,B
accusation,NOUN,5,C
assumption,NOUN,5,C
audition,NOUN,5,C
allocation,NOUN,6,C
accommodation,NOUN,3,B
attention,NOUN,3,B
administration,NOUN,5,C
aggression,NOUN,5,C
caution,NOUN,5,C
civilization,NOUN,5,C
anticipation,NOUN,6,C
combination,NOUN,4,B
adaptation,NOUN,5,C
alteration,NOUN,5,C
auction,NOUN,5,C
cancellation,NOUN,5,C
collaboration,NOUN,5,C
accumulation,NOUN,6,C
classification,NOUN,6,C
artist,NOUN,2,A
chemist,NOUN,2,A
celebrity,NOUN,3,B
authority,NOUN,5,C
availability,NOUN,4,B
charity,NOUN,6,C
ability,NOUN,3,B
capability,NOUN,5,C
ambiguity,NOUN,6,C
alternative,NOUN,4,B
authorize,VERB,5,C
announcement,NOUN,3,B
amendment,NOUN,5,C
awareness,NOUN,5,C
closeness,NOUN,5,C
clumsiness,NOUN,6,C
author,NOUN,3,B
calculator,NOUN,3,B
ambassador,NOUN,4,B
administrator,NOUN,5,C
anchor,NOUN,6,C
bomber,NOUN,4,B
alcoholic,NOUN,6,C
child,NOUN,1,A
city,NOUN,1,A
classroom,NOUN,1,A
clock,NOUN,1,A
actor,NOUN,2,A
adjective,NOUN,2,A
adverb,NOUN,2,A
ambulance,NOUN,2,A
balloon,NOUN,2,A
battery,NOUN,2,A
bill,NOUN,2,A
break,NOUN,2,A
bridge,NOUN,2,A
brush,NOUN,2,A
calendar,NOUN,2,A
century,NOUN,2,A
chef,NOUN,2,A
classmate,NOUN,2,A
click,NOUN,2,A
colleague,NOUN,2,A
accountant,NOUN,3,B
age,NOUN,3,B
aim,NOUN,3,B
airline,NOUN,3,B
antique,NOUN,3,B
athlete,NOUN,3,B
backpack,NOUN,3,B
bell,NOUN,3,B
blog,NOUN,3,B
bucket,NOUN,3,B
canal,NOUN,3,B
cashpoint,NOUN,3,B
clinic,NOUN,3,B
aspect,NOUN,4,B
bakery,NOUN,4,B
bang,NOUN,4,B
bargain,NOUN,4,B
basis,NOUN,4,B
battle,NOUN,4,B
beam,NOUN,4,B
bend,NOUN,4,B
billion,NOUN,4,B
blade,NOUN,4,B
bonus,NOUN,4,B
breakthrough,NOUN,4,B
bullet,NOUN,4,B
carnival,NOUN,4,B
category,NOUN,4,B
cause,NOUN,4,B
cemetery,NOUN,4,B
clause,NOUN,4,B
clue,NOUN,4,B
accessory,NOUN,5,C
agenda,NOUN,5,C
aid,NOUN,5,C
ally,NOUN,5,C
amateur,NOUN,5,C
asset,NOUN,5,C
assignment,NOUN,5,C
avenue,NOUN,5,C
boundary,NOUN,5,C
bracket,NOUN,5,C
bubble,NOUN,5,C
burden,NOUN,5,C
campaign,NOUN,5,C
charge,NOUN,5,C
chore,NOUN,5,C
clutch,NOUN,5,C
advocate,NOUN,6,C
arch,NOUN,6,C
assembly,NOUN,6,C
attribute,NOUN,6,C
band,NOUN,6,C
barn,NOUN,6,C
bet,NOUN,6,C
blend,NOUN,6,C
blow,NOUN,6,C
buzz,NOUN,6,C
challenge,NOUN,6,C
chill,NOUN,6,C
circuit,NOUN,6,C
civilian,NOUN,6,C
clash,NOUN,6,C
biology,NOUN,2,A
behaviour,NOUN,3,B
absence,NOUN,4,B
agriculture,NOUN,4,B
cardboard,NOUN,4,B
centigrade,NOUN,4,B
chaos,NOUN,4,B
applause,NOUN,5,C
archaeology,NOUN,5,C
coal,NOUN,5,C
awe,NOUN,6,C
bark,NOUN,6,C
blackmail,NOUN,6,C
bribery,NOUN,6,C
bureaucracy,NOUN,6,C
afternoon,NOUN,1,A
April,NOUN,1,A
August,NOUN,1,A
building,NOUN,2,A
college,NOUN,2,A
advantage,NOUN,3,B
benefit,NOUN,3,B
cod,NOUN,3,B
advance,NOUN,4,B
analysis,NOUN,4,B
belief,NOUN,4,B
campus,NOUN,4,B
collapse,NOUN,4,B
analogy,NOUN,6,C
bias,NOUN,6,C
burial,NOUN,6,C
cargo,NOUN,6,C
catastrophe,NOUN,6,C
belongings,NOUN,4,B
bacteria,NOUN,5,C
begin,VERB,1,A
arrive,VERB,2,A
apply,VERB,3,B
blog,VERB,3,B
brake,VERB,4,B
collapse,VERB,4,B
arise,VERB,5,C
beware,VERB,5,C
collaborate,VERB,5,C
bubble,VERB,6,C
buzz,VERB,6,C
clash,VERB,6,C
coincide,VERB,6,C
buy,VERB,1,A
allow,VERB,3,B
comb,VERB,3,B
abandon,VERB,4,B
abolish,VERB,4,B
absorb,VERB,4,B
accept,VERB,4,B
accuse,VERB,4,B
affect,VERB,4,B
block,VERB,4,B
boost,VERB,4,B
cause,VERB,4,B
chop,VERB,4,B
accomplish,VERB,5,C
alarm,VERB,5,C
allocate,VERB,5,C
anticipate,VERB,5,C
assign,VERB,5,C
associate,VERB,5,C
attain,VERB,5,C
bully,VERB,5,C
cap,VERB,5,C
classify,VERB,5,C
advocate,VERB,6,C
alert,VERB,6,C
amend,VERB,6,C
arouse,VERB,6,C
assemble,VERB,6,C
back,VERB,6,C
bind,VERB,6,C
blackmail,VERB,6,C
cloud,VERB,6,C
bite,VERB,3,B
alter,VERB,4,B
benefit,VERB,4,B
blink,VERB,4,B
bounce,VERB,4,B
burst,VERB,4,B
chew,VERB,4,B
coach,VERB,4,B
accumulate,VERB,5,C
bet,VERB,5,C
broaden,VERB,5,C
cater,VERB,5,C
arch,VERB,6,C
battle,VERB,6,C
angel,NOUN,3,B
barman,NOUN,3,B
bomb,NOUN,3,B
chapel,NOUN,6,C
bombing,NOUN,4,B
assault,NOUN,6,C
combat,NOUN,6,C
bribe,VERB,5,C
assault,VERB,6,C
combat,VERB,6,C
boiling,ADJ,4,B
adjacent,ADJ,6,C
awesome,ADJ,2,A
big,ADJ,5,C
blue,ADJ,6,C
cast,VERB,6,C
acceptable,ADJ,3,B
capable,ADJ,4,B
available,ADJ,2,A
clinical,ADJ,5,C
alphabetical,ADJ,4,B
additional,ADJ,4,B
artificial,ADJ,4,B
beneficial,ADJ,4,B
chemical,ADJ,4,B
coastal,ADJ,4,B
arrogant,ADJ,4,B
animated,ADJ,3,B
addicted,ADJ,4,B
advanced,ADJ,2,A
boiled,ADJ,2,A
canned,ADJ,4,B
bored,ADJ,1,A
amazed,ADJ,3,B
annoyed,ADJ,3,B
ashamed,ADJ,3,B
amused,ADJ,4,B
astonished,ADJ,4,B
bad-tempered,ADJ,4,B
bothered,ADJ,4,B
closed,ADJ,6,C
adopted,ADJ,4,B
better,ADJ,1,A
beautiful,ADJ,1,A
colourful,ADJ,3,B
careful,ADJ,2,A
cheerful,ADJ,3,B
artistic,ADJ,4,B
classic,ADJ,4,B
chronic,ADJ,6,C
basic,ADJ,3,B
authentic,ADJ,5,C
academic,ADJ,4,B
apologetic,ADJ,6,C
charismatic,ADJ,6,C
atomic,ADJ,4,B
automatic,ADJ,4,B
amazing,ADJ,2,A
amusing,ADJ,3,B
appalling,ADJ,5,C
boring,ADJ,1,A
annoying,ADJ,3,B
charming,ADJ,3,B
astonishing,ADJ,4,B
caring,ADJ,4,B
circulation,NOUN,6,C
childish,ADJ,4,B
capitalist,ADJ,6,C
active,ADJ,5,C
attractive,ADJ,2,A
